tweet,id,name,location,topic,created_at,processed_on
"18 hours later and the #ModernaBooster is trying to kick my ass, but I think I’m putting up a decent fight. https://t.co/WpoCtsNhXi",1466497393550004228,Your Friendly Neighborhood Moser,"Arizona, USA",ModernaBooster ,Thu Dec 02 19:59:59 +0000 2021,2021-12-08 17:10:47
Boosted!!! #ModernaBooster #ModernaGang,1466496014387343361,Steve Drumwright #BLM 💉💉💉,"Murrieta, CA via Wis. and S.F.",ModernaBooster ,Thu Dec 02 19:54:30 +0000 2021,2021-12-08 17:10:47
IM BOOSTED. I hope to save my children from this horrible virus. They are not old enough to get it yet. I had Pfize… https://t.co/tJH3UcYGZH,1466494203882524674,🌑👩🏻‍💻DeepAbyss👩🏻‍💻🌑,"Massachusetts, USA",ModernaBooster ,Thu Dec 02 19:47:19 +0000 2021,2021-12-08 17:10:47
"Got my booster today and am now proudly awaiting any reactions.😁
Might have an interesting night and Friday tomorro… https://t.co/uHELx3LlsR",1466492381805662211,TLOS-Freak 🇦🇹📚❤👽,Austria,ModernaBooster ,Thu Dec 02 19:40:04 +0000 2021,2021-12-08 17:10:47
"Day2 with the #ModernaBooster, and the only symptom I can report is injection site soreness. Otherwise golden.

Get… https://t.co/QKiN0EexvA",1466481603417460738,Nome,Denver Metro,ModernaBooster ,Thu Dec 02 18:57:14 +0000 2021,2021-12-08 17:10:47
"Boosted 💉
#ModernaBooster",1466480240385998859,Lewis 🇪🇺,"London, UK",ModernaBooster ,Thu Dec 02 18:51:49 +0000 2021,2021-12-08 17:10:47
Anyone else having worse side effects with their #ModernaBooster? The first couple of doses only gave me a bit of f… https://t.co/BCcLog02AS,1466473593659924482,Bethany Cuenod (she/her),"Houston, TX",ModernaBooster ,Thu Dec 02 18:25:25 +0000 2021,2021-12-08 17:10:47
"This #Booster is really trying to flex on me. Aches in the arm, chills, aaaaaaaand now this. No superpowers yet but… https://t.co/NebEzDkZkS",1466456500503785478,DungeonMasterDevo,United States,ModernaBooster ,Thu Dec 02 17:17:29 +0000 2021,2021-12-08 17:10:47
Now I feel lucky that I had to wait 7.5 weeks between my first and second dose. #TeamPfizer #ModernaBooster https://t.co/lBt5XZxHB1,1466386694631006212,Րυɱ૦Ր Һคς ɿ੮ 🏴,United States,ModernaBooster ,Thu Dec 02 12:40:06 +0000 2021,2021-12-08 17:10:47
"Top 10 #health #news of the Day: December 2, 2021

▶️  @GSK says antibody drug ‘Sotrovimab’ works against… https://t.co/LrNLRoEAB5",1466374331848482820,Rai Umraopati Ray 🇮🇳,"New Delhi, India",ModernaBooster ,Thu Dec 02 11:50:59 +0000 2021,2021-12-08 17:10:47
I'm boosted #ModernaBooster,1466368939127152647,1/0,,ModernaBooster ,Thu Dec 02 11:29:33 +0000 2021,2021-12-08 17:10:47
"got my booster shot💉
#ModernaBooster",1466355658219950086,jas,,ModernaBooster ,Thu Dec 02 10:36:47 +0000 2021,2021-12-08 17:10:47
"I feel utterly exhausted, but my appetite has returned and the flu symptoms are gone two days after my booster. #ModernaBooster",1466349069308153856,Dr Carrie Etter,"Bath, UK",ModernaBooster ,Thu Dec 02 10:10:36 +0000 2021,2021-12-08 17:10:47
"So a double dose of shit that doesn’t work? #MakeThisMakeSense
#ModernaBooster 
#Omicron 
#ClownWorld https://t.co/zamXC4Hice",1466237804996874246,Michael,Houston,ModernaBooster ,Thu Dec 02 02:48:28 +0000 2021,2021-12-08 17:10:47
"This is for the love of my community, for the love of my family, for the love of my congregation...this is for all… https://t.co/BMbKkFfhZF",1466235860899311623,Rev B,"West Virginia, USA",ModernaBooster ,Thu Dec 02 02:40:45 +0000 2021,2021-12-08 17:10:47
Got my Moderna booster Dec 1 after receiving my initial Janssen shot in May 2021. I did share a photo on FB.  I mig… https://t.co/y2wzQJ5oLI,1466234357476114432,Jay Eilers (Rio Bookworm),"Fort Worth, TX",ModernaBooster ,Thu Dec 02 02:34:46 +0000 2021,2021-12-08 17:10:47
"@JerasIkehorn ...

For me, no real side
effects until 24 hrs
after the shot, &amp; only
mild at that. Some chills
mostl… https://t.co/rsM7Zbhs5B",1466234241214255106,TIMMY TRUE BLUE DEM 🇺🇸,Virginia,ModernaBooster ,Thu Dec 02 02:34:19 +0000 2021,2021-12-08 17:10:47
Got my Moderna booster Dec 1 after receiving my initial Janssen shot in May 2021. I did share a photo on FB.  I mig… https://t.co/iXpoyCLVRR,1466234174331830272,Jay Eilers (Misfit Moxie),"Fort Worth, TX",ModernaBooster ,Thu Dec 02 02:34:03 +0000 2021,2021-12-08 17:10:47
#ModernaBooster in a few wks 🙂🙂,1466225127289458695,Rosemary Quinlin,"Colonial Park, PA",ModernaBooster ,Thu Dec 02 01:58:06 +0000 2021,2021-12-08 17:10:47
"Boosted, Man. 

#ModernaBooster #fuckcovid",1466224096790781954,Mike Brais,"Worcester, MA",ModernaBooster ,Thu Dec 02 01:54:00 +0000 2021,2021-12-08 17:10:47
"Moderna vs Pfizer Among  3M veterans:
Recipients of the BNT162b2 vaccine had a 27% higher risk of documented SARS-C… https://t.co/TcUPSDbtCn",1466217638544162819,Sara Mardani,"WV, USA 🇺🇸 ",ModernaBooster ,Thu Dec 02 01:28:20 +0000 2021,2021-12-08 17:10:47
Got my moderna vaccine booster today. I am a Republican. #vaccinated #ModernaBooster #CovidVaccine,1466211016828723205,Lovie’s Tampa 2 🙈,Section 315,ModernaBooster ,Thu Dec 02 01:02:01 +0000 2021,2021-12-08 17:10:47
I'm Boosted!!!  🙌🏽💃🏾💉 #ModernaBooster,1466204330655109121,Barbara Rogers,"Houston, TX",ModernaBooster ,Thu Dec 02 00:35:27 +0000 2021,2021-12-08 17:10:47
I’m boosted baby! Waiting outside after my shot for my super human powers to kick in. My 5G is gonna be 🔥… https://t.co/Ql3rh8WGCu,1466200353293017094,Laraine #getvaxxed,"Los Angeles, California",ModernaBooster ,Thu Dec 02 00:19:39 +0000 2021,2021-12-08 17:10:47
Just got my #ModernaBooster with my very sweet nurse who offered me a cookie for my ouchie. That's #service https://t.co/ME7yJF70Oq,1466193857826246661,Telecomic,"Maryland, USA, Earth",ModernaBooster ,Wed Dec 01 23:53:50 +0000 2021,2021-12-08 17:10:47
"The booster jab (Moderna) has been no joke for me! Bad all over muscle aching, very tender swelling and itching at… https://t.co/w1FQszWRNs",1466183006020853763,The PTSD PC 👮🏼,United Kingdom,ModernaBooster ,Wed Dec 01 23:10:43 +0000 2021,2021-12-08 17:10:47
"Welp got my booster today with @whaleprinceaz this one has me feeling tired &amp; run down, no fever &amp; delayed several… https://t.co/iwDMiVYdTj",1466181107833982980,Mrs Whale Prince🦓,We live on the sun... ,ModernaBooster ,Wed Dec 01 23:03:11 +0000 2021,2021-12-08 17:10:47
Omicron is a gotdamn Decepticon! Just got my covid booster. #BoosterShot #BoosterClub #ModernaBooster https://t.co/r3tc7krsJr,1466172018160771074,THEE Freelance Auntie 🤶🏾🎄,,ModernaBooster ,Wed Dec 01 22:27:03 +0000 2021,2021-12-08 17:10:47
@ClintGunter2 @DocMCohen @HKPRDHU Double vaxxed and now boosted. Waiting to die. But not from Covid-19… https://t.co/W8SxrbaBKB,1466171581173059597,Leigh Tenhet,"Austin, TX",ModernaBooster ,Wed Dec 01 22:25:19 +0000 2021,2021-12-08 17:10:47
Upgraded my microchips. The signal is so much better! 5 bars! #ModernaBooster https://t.co/Qk3druXI5Y,1466169179241865223,R Dawg,"Somewhere, USA",ModernaBooster ,Wed Dec 01 22:15:47 +0000 2021,2021-12-08 17:10:47
"Got that #boosterdose and now we wait to see what superpowers I got. Personally, I’m hoping for Nightcrawler’s powe… https://t.co/N5bCgrG74V",1466165568441139202,DungeonMasterDevo,United States,ModernaBooster ,Wed Dec 01 22:01:26 +0000 2021,2021-12-08 17:10:47
"BOOSTERED ⭐⭐⭐

#ModernaBooster",1466152568011182084,Christina Williams,"Actress based in Seattle, WA",ModernaBooster ,Wed Dec 01 21:09:46 +0000 2021,2021-12-08 17:10:47
I'm definitely coming back to myself now--I feel like reading! #modernabooster,1466148799181729800,Dr Carrie Etter,"Bath, UK",ModernaBooster ,Wed Dec 01 20:54:48 +0000 2021,2021-12-08 17:10:47
Finally. . .Me &amp; my 83 year old Dad got our #ModernaBooster shot today. 👍🏾,1466146894778937353,John Robert  Castellanos,Planet Earth,ModernaBooster ,Wed Dec 01 20:47:14 +0000 2021,2021-12-08 17:10:47
@SutterHealth Hey Sutter. Do better. #ModernaBooster hard to schedule. Hard to get. Plus they charged me?  Fixing t… https://t.co/ElSlze0jQA,1466145814502260741,mary carlson,"NOR CAL Oregon Sioux City, IA",ModernaBooster ,Wed Dec 01 20:42:56 +0000 2021,2021-12-08 17:10:47
"Got the #ModernaBooster  yesterday and I feel tired, arm a little sore, but otherwise okay.",1466132642546561037,Rick Delahanty 🌊,"Potosi, MO",ModernaBooster ,Wed Dec 01 19:50:36 +0000 2021,2021-12-08 17:10:47
"#Covid19 booster yesterday. Headache, eyes stinging, shivering like buggery. #ModernaBooster",1466132362258010121,LordCornelius,,ModernaBooster ,Wed Dec 01 19:49:29 +0000 2021,2021-12-08 17:10:47
Most affected #cronavachine .. #Sinovac #ModernaBooster #Sinopharm #phizer #usa #china,1466125175129198594,Bilal Munir,,ModernaBooster ,Wed Dec 01 19:20:55 +0000 2021,2021-12-08 17:10:47
Boostered up #ModernaBooster,1466124436210339850,William Stewart,"Rimersburg, PA",ModernaBooster ,Wed Dec 01 19:17:59 +0000 2021,2021-12-08 17:10:47
"That Moderna booster has bite 😫😭 

Glad I planned ahead to make sure I can take it easy today. 

#ModernaBooster… https://t.co/VOF8d6xZB5",1466122622199119874,Lady Sugarplum Sims 🍬🎄🎁,Henford-on-Bagley,ModernaBooster ,Wed Dec 01 19:10:47 +0000 2021,2021-12-08 17:10:47
Just got the booster!!! If you haven’t already make sure to schedule an appointment and get that vaccine. The more… https://t.co/lo8CtMHSdo,1466115833764139015,Jacob Petote,"Arlington, VA",ModernaBooster ,Wed Dec 01 18:43:48 +0000 2021,2021-12-08 17:10:47
"Lost 12 hours yesterday thanks to the booster. Sweats, chills, headache, and no food.  But I'm back and unstoppable… https://t.co/WDkHmmRSjm",1466105105355313152,Kathleen Lucente,"Austin, TX",ModernaBooster ,Wed Dec 01 18:01:10 +0000 2021,2021-12-08 17:10:47
3rd jab done! ✅ #BoosterVaccinatie #boosterprik #Moderna #ModernaBooster https://t.co/TU7R9y3C24,1466103908472963084,Gordon Desodt,Belgium,ModernaBooster ,Wed Dec 01 17:56:25 +0000 2021,2021-12-08 17:10:47
"After my #ModernaBooster jab yesterday, I feel I've been beaten up by this guy. Must be powerful stuff they're maki… https://t.co/JZ6f0BLLbN",1466096527311523854,Bob and Jenny's Motorhome Adventures,"Southport, England",ModernaBooster ,Wed Dec 01 17:27:05 +0000 2021,2021-12-08 17:10:47
Shot number 2 was rough. Scheduled a light day to recover after shot number 3. 12 hours after injection = shivering… https://t.co/LBF2pstIwc,1466088700589199365,Bruised Toes,"Utah, USA",ModernaBooster ,Wed Dec 01 16:55:59 +0000 2021,2021-12-08 17:10:47
"Got over my #ModernaBooster in less than 24 hours. 2nd dose was bad, gave me joint pains that made it difficult to… https://t.co/CRHM9iaoHL",1466084386688929799,brick MAGA’s phones,Sealab,ModernaBooster ,Wed Dec 01 16:38:50 +0000 2021,2021-12-08 17:10:47
"Got the #ModernaBooster, #flushot and #pnuemoniavaccine yesterday, so I'm feeling GREAT today! 👍 For those I love,… https://t.co/it3i14Y4pG",1466079185928179715,InsideAnndOut,,ModernaBooster ,Wed Dec 01 16:18:11 +0000 2021,2021-12-08 17:10:47
"If anyone is interested, I got my #Modernabooster about 24 hours ago and though my arm is perhaps more sore than wi… https://t.co/zeEvV1bLh7",1466066782733668352,lowehuff,Find some of it at:,ModernaBooster ,Wed Dec 01 15:28:53 +0000 2021,2021-12-08 17:10:47
"Anyone else had bad side effects from the #ModernaBooster ? - had mine yesterday and had terrible headache, shivers… https://t.co/oK8pvoBs4Q",1466063080765509638,Hoff,"Bushey, Herts",ModernaBooster ,Wed Dec 01 15:14:11 +0000 2021,2021-12-08 17:10:47
Morgen Boosterday. #ModernaBooster,1466060356497940481,claudine,berlin,ModernaBooster ,Wed Dec 01 15:03:21 +0000 2021,2021-12-08 17:10:47
"@Laurie_Garrett .
IT IS IMPOSSIBLE
2 GET #covid19 appts
5 days looking 4 one
10 miles 4m home
Next week… https://t.co/3nqSpTwPSp",1466044220154781697,💗Occupy💗 #ATX 💃🦉🪶✡️,💞Sorrow is the price of #Love💞,ModernaBooster ,Wed Dec 01 13:59:14 +0000 2021,2021-12-08 17:10:47
Got my #ModernaBooster and feel like a rocket boosted me into space then dropped me onto an ill-tempered porcupine.… https://t.co/AL5ei4WMCC,1466037946537156614,Laurie BatzELF🤶,Pennsylvania USA,ModernaBooster ,Wed Dec 01 13:34:18 +0000 2021,2021-12-08 17:10:47
Had #Covid; Had 2 #ModernaBooster    Hell no I will NOT get another booster https://t.co/3ImW9yPy8D,1466034859449753600,Janie Johansen,Florida Panhandle,ModernaBooster ,Wed Dec 01 13:22:02 +0000 2021,2021-12-08 17:10:47
Co-codamol and a mocha coffee have rendered me functional enough to sit on the couch and work on my laptop. I'm sur… https://t.co/y28G8bI3Fn,1466026353363505155,Dr Carrie Etter,"Bath, UK",ModernaBooster ,Wed Dec 01 12:48:14 +0000 2021,2021-12-08 17:10:47
"Very pleased to have had a shot of #ModernaBooster today, brilliant staff at the @NHSLincsCCG site on the showgroun… https://t.co/2E52XxjGoT",1466025238471266309,Andy Fox,"Lincoln, England",ModernaBooster ,Wed Dec 01 12:43:48 +0000 2021,2021-12-08 17:10:47
"What side effects?
#ModernaBooster💉
#VaccinesWork💉
#AddedProtection💪🏻 https://t.co/qXOwJw6yFN",1466014256885743616,grizzlybearboi🐻,Philippines,ModernaBooster ,Wed Dec 01 12:00:10 +0000 2021,2021-12-08 17:10:47
Nurse Max curled up against me #Modernabooster https://t.co/9LsZkzIyvT,1466009137746165763,Dr Carrie Etter,"Bath, UK",ModernaBooster ,Wed Dec 01 11:39:50 +0000 2021,2021-12-08 17:10:47
#ModernaBooster Tuesday ... Virtually no side effects until later in the day when I felt tired and achy. I'd also b… https://t.co/fN8y5chAiu,1466002648746926082,Elan Durham,,ModernaBooster ,Wed Dec 01 11:14:03 +0000 2021,2021-12-08 17:10:47
The #ModernaBooster broke me:(  don't know if it was because it was a different make or just because it was the 3rd… https://t.co/OYqUhpjkmk,1466000961982414855,Keren 🐢,"South West, England",ModernaBooster ,Wed Dec 01 11:07:20 +0000 2021,2021-12-08 17:10:47
"so booster is drin 
#impfen 
#ModernaBooster",1465998653949198343,Kielermaedchen 💉💉💉,,ModernaBooster ,Wed Dec 01 10:58:10 +0000 2021,2021-12-08 17:10:47
"Man forced to get vaccine to receive transplant dies after Moderna shot https://t.co/l31vvvpJS4
#vaccine… https://t.co/fEH7QdPrt4",1465988002270822401,Meta Research,,ModernaBooster ,Wed Dec 01 10:15:51 +0000 2021,2021-12-08 17:10:47
"I managed to pull myself out of bed at 8:50 for a meeting at 9, but I think now it's probably back to bed. Thank go… https://t.co/8GqOndxz7h",1465980432994996226,Dr Carrie Etter,"Bath, UK",ModernaBooster ,Wed Dec 01 09:45:46 +0000 2021,2021-12-08 17:10:47
Speedy support here at @GlasgowMosque for third vaccine. Grateful to all staff. Equally grateful I didn't know the… https://t.co/ADTQ7DV6Tx,1465972494083538944,James McCormick,"Glasgow southside, Scotland",ModernaBooster ,Wed Dec 01 09:14:13 +0000 2021,2021-12-08 17:10:47
"Got my booster shot 💉
#ModernaBooster",1465969916193157120,GABBI,"Malinao, Aklan, Philippines",ModernaBooster ,Wed Dec 01 09:03:59 +0000 2021,2021-12-08 17:10:47
"I'm not worried about the #Omnicron 
#Vaxxed up and scheduling my #ModernaBooster soon.

Looking forward to being b… https://t.co/eJSp2RZzUx",1465943607576301569,Rich,"Mississauga, Ontario",ModernaBooster ,Wed Dec 01 07:19:26 +0000 2021,2021-12-08 17:10:47
Daddy's #ModernaBooster,1465934888193110018,rozanne,,ModernaBooster ,Wed Dec 01 06:44:47 +0000 2021,2021-12-08 17:10:47
"5 hours later, typical injection site muscle soreness. Will see how this stuff works tomorrow. #modernabooster",1465900156314787844,Basil Mournian,"North Park, CA",ModernaBooster ,Wed Dec 01 04:26:47 +0000 2021,2021-12-08 17:10:47
Booster get! #ModernaBooster https://t.co/C93jzIjDoE,1465871140329381888,Delver the Fox,"San Francisco, CA",ModernaBooster ,Wed Dec 01 02:31:29 +0000 2021,2021-12-08 17:10:47
"I did a thing today....

#BoosterShots #ModernaBooster #soreshoulder https://t.co/koTc0mFyUY",1465866049589592071,"Daniel Gonzalez, MBA 🏌‍♂️","Austin, Texas",ModernaBooster ,Wed Dec 01 02:11:15 +0000 2021,2021-12-08 17:10:47
Got my #ModernaBooster and dragging a bit but it’s better than getting #COVID19 again!! 😷,1465855854096392192,Kari B. Hertel You’re on mute😂,"Dublin, Ohio",ModernaBooster ,Wed Dec 01 01:30:44 +0000 2021,2021-12-08 17:10:47
Moderna supposedly got the omicron variant vaccine… I should buy huh? #ModernaBooster #Moderna,1465852831827591169,joe kerr 🇳🇬🇬🇭,🍊Bounty Balifornia ,ModernaBooster ,Wed Dec 01 01:18:43 +0000 2021,2021-12-08 17:10:47
Went to Educational Cultural Complex off Ocean View. They let me do walk in for the booster. They had all 3 there.… https://t.co/PbKaW41nR6,1465849094237155335,Basil Mournian,"North Park, CA",ModernaBooster ,Wed Dec 01 01:03:52 +0000 2021,2021-12-08 17:10:47
Got my #ModernaBooster this evening inside the library where my daughter learned to love books.… https://t.co/9F4HQqXmvy,1465845240951148555,Leigh Tenhet,"Austin, TX",ModernaBooster ,Wed Dec 01 00:48:34 +0000 2021,2021-12-08 17:10:47
"Boosted

 #ModernaBooster #science #ScienceIsWonderful",1465837806513790979,Annie Villeneuve,Springfield IL,ModernaBooster ,Wed Dec 01 00:19:01 +0000 2021,2021-12-08 17:10:47
Got my #ModernaBooster shot earlier tonight and am glad I did so. It's something I recommend getting ASAP to anybod… https://t.co/7imfRPWs7Z,1465832323392417793,Colin Murphy,USA,ModernaBooster ,Tue Nov 30 23:57:14 +0000 2021,2021-12-08 17:10:47
Haven't been around much for several days. So a to the side for #TheReidOut #inners #maddow folks? Got my… https://t.co/IpyZminOvG,1465824168558006275,arrow252525,,ModernaBooster ,Tue Nov 30 23:24:50 +0000 2021,2021-12-08 17:10:47
"Boosted.✅💉
#science #moderna #ModernaBooster #vaccinated #COVID19 #COVIDBooster",1465823666080559108,Matthew Vos,"Minnesota, USA",ModernaBooster ,Tue Nov 30 23:22:50 +0000 2021,2021-12-08 17:10:47
Seriously surprised the Moderna booster gave me leg cramps and dizziness 😩 #Booster #ModernaBooster,1465816013929390085,Ashley,,ModernaBooster ,Tue Nov 30 22:52:25 +0000 2021,2021-12-08 17:10:47
Moderna booster literally gave me cramps today and fatigue. I know I can't be alone with these crazy side effects. #Booster #ModernaBooster,1465815137231810563,Ashley,,ModernaBooster ,Tue Nov 30 22:48:56 +0000 2021,2021-12-08 17:10:47
Wifey and I got boostered yesterday. Side effects today were not half as bad as when we got the second dose. Minor… https://t.co/prWHufcMXp,1465814858889322503,Julian Gressel,,ModernaBooster ,Tue Nov 30 22:47:50 +0000 2021,2021-12-08 17:10:47
"I got my booster on Saturday, Moderna.  No issues except a sore arm for a couple of days. Yay me, I'm protected and… https://t.co/Ky3sz9aVwp",1465812717202120705,Linda Vote Blue in 22 for a Blue Wave Tsumani,"California, USA",ModernaBooster ,Tue Nov 30 22:39:19 +0000 2021,2021-12-08 17:10:47
Just got boosted! #ModernaBooster,1465796992353906703,HannahLeBrandonRawlins,"Oklahoma City, OK",ModernaBooster ,Tue Nov 30 21:36:50 +0000 2021,2021-12-08 17:10:47
So still dealing with the sciatica pain but today is a good day. Not as intense as yesterday. Went and got my boost… https://t.co/C7lSZykc13,1465795647366443026,Wanda Landis ✌🏻❤️😀,Texan living in Ohio,ModernaBooster ,Tue Nov 30 21:31:30 +0000 2021,2021-12-08 17:10:47
Boosted #ModernaBooster 💉@CVS in Target https://t.co/e4MgWekPVV,1465792724507009031,HighMaintenanceChick™️,"L.A.🛬N. Bethesda, MD✈️L.A.23’",ModernaBooster ,Tue Nov 30 21:19:53 +0000 2021,2021-12-08 17:10:47
Waiting to get my booster shot 💉 #ModernaBooster #Booster https://t.co/vgVIxq7Qz6,1465784218869501956,Thee Chanteezy 💛♉️,"New York, NY",ModernaBooster ,Tue Nov 30 20:46:05 +0000 2021,2021-12-08 17:10:47
"@cakeswithfaces @BBCNews @ABCWorldNews So am I, #ModernaBooster is arriving in 7 months! @kawauso318",1465763777190629376,Eduardo Vicencio,to find my right picture!,ModernaBooster ,Tue Nov 30 19:24:51 +0000 2021,2021-12-08 17:10:47
"Getting my #booster 

#ModernaBooster https://t.co/VhAznvwGoL",1465754622451191811,Kristina Cunningham,She/her,ModernaBooster ,Tue Nov 30 18:48:29 +0000 2021,2021-12-08 17:10:47
Got my💉#ModernaBooster https://t.co/HAldbK4aLd,1465754517576638466,𝔸𝕕𝕣𝕚𝕒𝕟𝕒💚🎄❤️,"California, USA",ModernaBooster ,Tue Nov 30 18:48:04 +0000 2021,2021-12-08 17:10:47
"Done, get to work #ModernaBooster 🙏🏻 (also note the MASK while i wait to be observed see it’s not hard to cover my… https://t.co/jZxxBpJYeG",1465744731955154946,why,"Minneapolis, MN",ModernaBooster ,Tue Nov 30 18:09:10 +0000 2021,2021-12-08 17:10:47
"Got my #ModernaBooster jab today, plus flu vaccine for good measure. #BoosterShots #GetVaccinatedNow #CovidIsNotOver",1465731871682277385,John Doherty 💙,,ModernaBooster ,Tue Nov 30 17:18:04 +0000 2021,2021-12-08 17:10:47
Now I get why the nurse at the jab Center today asked lots of questions about aching arms…. 😩 #ModernaBooster https://t.co/5KXICjM878,1465731373445091337,I P,🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,ModernaBooster ,Tue Nov 30 17:16:06 +0000 2021,2021-12-08 17:10:47
Scheduled booster shots for myself and @NyMpHyDrO! Excitement! #ModernaBooster 💉,1465728451533582343,Mr. Man.,District 9.,ModernaBooster ,Tue Nov 30 17:04:29 +0000 2021,2021-12-08 17:10:47
Question @AliceWiseman11 Given Moderna have announced that their #ModernaBooster is almost certainly ineffective ag… https://t.co/AYrABZbbWp,1465726914610487298,😷Hillforter🇪🇺#RejoinEU,#NHS #MedEd (Retired) 🏅GC 🙄,ModernaBooster ,Tue Nov 30 16:58:22 +0000 2021,2021-12-08 17:10:47
"@Laurie_Garrett @8blackdiamond8 @moderna_tx @FT More money for the drug companies--shocker!
What about all the peop… https://t.co/ea00nudaaO",1465720931137900546,Bonni Moschetti 🌴🌈,  🎭,ModernaBooster ,Tue Nov 30 16:34:36 +0000 2021,2021-12-08 17:10:47
Damn it #ModernaBooster you hurt! Such a sore arm. 😭,1465700476603682824,K8 Carru 💙🐝,"Oxford, UK",ModernaBooster ,Tue Nov 30 15:13:19 +0000 2021,2021-12-08 17:10:47
@RockpathWV I can’t find a pharmacy in Rochester that has openings for the third #ModernaBooster ?  #RochesterNY,1465690482491723778,Theresa Maccarone,Rochester. NY,ModernaBooster ,Tue Nov 30 14:33:36 +0000 2021,2021-12-08 17:10:47
Got the #modernabooster and it kicked my ass. Just coming out of 36 hours of chills and thrills. Let’s just hope it… https://t.co/4Nv4qnSXVO,1465681772524539907,🚢Randy Wilburn🚢,Arkansas...Center of it all,ModernaBooster ,Tue Nov 30 13:59:00 +0000 2021,2021-12-08 17:10:47
"@karthikSou I think Your morning first update was correct, as market open in the value and in the range, or market… https://t.co/m9voDXC1nV",1465657206972432384,Pricemutation,India,ModernaBooster ,Tue Nov 30 12:21:23 +0000 2021,2021-12-08 17:10:47
"⚠️BREAKING:

MODERNA CEO: THERE WILL BE A MATERIAL DROP IN VACCINE EFFECTIVENESS AGAINST #Omicron ..

#moderna… https://t.co/e6jkrYWIvd",1465649118945034252,Arijit K R0Y,"West Bengal, India",ModernaBooster ,Tue Nov 30 11:49:15 +0000 2021,2021-12-08 17:10:47
Today’s #Modernabooster update: nearly 24 hours later🌪🥵🤕 https://t.co/NHHhERvR4L,1465641721140817922,Lexie,🇺🇸 currently,ModernaBooster ,Tue Nov 30 11:19:51 +0000 2021,2021-12-08 17:10:47
"Update: it’s 4:59 and I’m up with chills, fever and aches that feel like I got hit by a freight train.… https://t.co/ati32xiCOb",1465636618765754368,TheMoncadaArmada,,ModernaBooster ,Tue Nov 30 10:59:34 +0000 2021,2021-12-08 17:10:47
"@Reuters #Moderna 

 #ModernaBooster  - are they trying to manipulate, aiming to sell more for more #profit 

while… https://t.co/RzvkF15QMJ",1465623091804098563,Andre Allan,"London, England",ModernaBooster ,Tue Nov 30 10:05:49 +0000 2021,2021-12-08 17:10:47
Moderna CEO - thank you for your honesty on your current views on the standing of your current vaxx. I’ll still be… https://t.co/Melr7vNBja,1465613376218820616,Mz. M 💔🤍💙 😷💉🩺,California,ModernaBooster ,Tue Nov 30 09:27:13 +0000 2021,2021-12-08 17:10:47
Moderna CEO says it will take several months to develop and produce Omnicron-specific vaccines. 'But could we get t… https://t.co/zPf2esnNIz,1465577507093102593,Julia Kollewe,London,ModernaBooster ,Tue Nov 30 07:04:41 +0000 2021,2021-12-08 17:10:47
Spreading fear just to sell more of their booster doses ! #ModernaBooster #GOAT #LISA #Omicron #OmicronVariant… https://t.co/PDOatJhyIr,1465572699845971972,Skylar,India,ModernaBooster ,Tue Nov 30 06:45:35 +0000 2021,2021-12-08 17:10:47
